CPU 1 is empty
CPU 2 is empty
CPU 3 is empty
CPU 5 is empty
CPU 6 is empty
CPU 7 is empty
CPU 9 is empty
cpus=10
      lazy_alloc-31612 [004] 34326.485542: funcgraph_exit:         1.833 us   |          }
      lazy_alloc-31612 [004] 34326.485543: funcgraph_exit:         2.213 us   |        }
      lazy_alloc-31612 [004] 34326.485543: funcgraph_entry:                   |        __mem_cgroup_charge() {
      lazy_alloc-31612 [004] 34326.485543: funcgraph_entry:                   |          get_mem_cgroup_from_mm() {
      lazy_alloc-31612 [004] 34326.485543: funcgraph_entry:        0.081 us   |            __rcu_read_lock();
      lazy_alloc-31612 [004] 34326.485543: funcgraph_entry:        0.473 us   |            __rcu_read_unlock();
      lazy_alloc-31612 [004] 34326.485544: funcgraph_exit:         0.856 us   |          }
      lazy_alloc-31612 [004] 34326.485544: funcgraph_entry:        0.124 us   |          charge_memcg();
      lazy_alloc-31612 [004] 34326.485544: funcgraph_exit:         1.306 us   |        }
      lazy_alloc-31612 [004] 34326.485544: funcgraph_entry:                   |        __folio_throttle_swaprate() {
      lazy_alloc-31612 [004] 34326.485544: funcgraph_entry:                   |          blk_cgroup_congested() {
      lazy_alloc-31612 [004] 34326.485544: funcgraph_entry:        0.084 us   |            __rcu_read_lock();
      lazy_alloc-31612 [004] 34326.485544: funcgraph_entry:        0.095 us   |            kthread_blkcg();
      lazy_alloc-31612 [004] 34326.485545: funcgraph_entry:        0.085 us   |            __rcu_read_unlock();
      lazy_alloc-31612 [004] 34326.485545: funcgraph_exit:         0.693 us   |          }
      lazy_alloc-31612 [004] 34326.485545: funcgraph_exit:         0.904 us   |        }
      lazy_alloc-31612 [004] 34326.485545: funcgraph_entry:        0.080 us   |        pte_mkwrite();
      lazy_alloc-31612 [004] 34326.485545: funcgraph_entry:                   |        __pte_offset_map_lock() {
      lazy_alloc-31612 [004] 34326.485545: funcgraph_entry:                   |          ___pte_offset_map() {
      lazy_alloc-31612 [004] 34326.485545: funcgraph_entry:        0.082 us   |            __rcu_read_lock();
      lazy_alloc-31612 [004] 34326.485546: funcgraph_exit:         0.272 us   |          }
      lazy_alloc-31612 [004] 34326.485546: funcgraph_entry:        0.087 us   |          _raw_spin_lock();
      lazy_alloc-31612 [004] 34326.485546: funcgraph_exit:         0.631 us   |        }
      lazy_alloc-31612 [004] 34326.485546: funcgraph_entry:                   |        folio_add_new_anon_rmap() {
      lazy_alloc-31612 [004] 34326.485546: funcgraph_entry:                   |          __folio_mod_stat() {
      lazy_alloc-31612 [004] 34326.485546: funcgraph_entry:                   |            __lruvec_stat_mod_folio() {
      lazy_alloc-31612 [004] 34326.485546: funcgraph_entry:        0.082 us   |              __rcu_read_lock();
      lazy_alloc-31612 [004] 34326.485547: funcgraph_entry:        0.093 us   |              __mod_node_page_state();
      lazy_alloc-31612 [004] 34326.485547: funcgraph_entry:                   |              mod_memcg_lruvec_state() {
      lazy_alloc-31612 [004] 34326.485547: funcgraph_entry:        0.108 us   |                css_rstat_updated();
      lazy_alloc-31612 [004] 34326.485547: funcgraph_exit:         0.497 us   |              }
      lazy_alloc-31612 [004] 34326.485547: funcgraph_entry:        0.111 us   |              __rcu_read_unlock();
      lazy_alloc-31612 [004] 34326.485548: funcgraph_exit:         1.270 us   |            }
      lazy_alloc-31612 [004] 34326.485548: funcgraph_exit:         1.442 us   |          }
      lazy_alloc-31612 [004] 34326.485548: funcgraph_exit:         1.674 us   |        }
      lazy_alloc-31612 [004] 34326.485548: funcgraph_entry:                   |        folio_add_lru_vma() {
      lazy_alloc-31612 [004] 34326.485548: funcgraph_entry:        0.138 us   |          __folio_batch_add_and_move();
      lazy_alloc-31612 [004] 34326.485548: funcgraph_exit:         0.311 us   |        }
      lazy_alloc-31612 [004] 34326.485548: funcgraph_entry:        0.090 us   |        _raw_spin_unlock();
      lazy_alloc-31612 [004] 34326.485548: funcgraph_entry:        0.080 us   |        __rcu_read_unlock();
      lazy_alloc-31612 [004] 34326.485549: funcgraph_exit:       + 46.952 us  |      }
      lazy_alloc-31612 [004] 34326.485549: funcgraph_exit:       + 54.962 us  |    }
      lazy_alloc-31612 [004] 34326.485549: funcgraph_entry:        0.084 us   |    __rcu_read_lock();
      lazy_alloc-31612 [004] 34326.485549: funcgraph_entry:        0.088 us   |    mem_cgroup_from_task();
      lazy_alloc-31612 [004] 34326.485549: funcgraph_entry:                   |    count_memcg_events() {
      lazy_alloc-31612 [004] 34326.485549: funcgraph_entry:        0.086 us   |      css_rstat_updated();
      lazy_alloc-31612 [004] 34326.485550: funcgraph_exit:         0.282 us   |    }
      lazy_alloc-31612 [004] 34326.485550: funcgraph_entry:        0.084 us   |    __rcu_read_unlock();
      lazy_alloc-31612 [004] 34326.485550: funcgraph_exit:       + 56.199 us  |  }
       trace-cmd-31606 [000] 34326.485579: funcgraph_entry:                   |  finish_task_switch.isra.0() {
       trace-cmd-31606 [000] 34326.485581: funcgraph_entry:        0.258 us   |    _raw_spin_unlock();
       trace-cmd-31606 [000] 34326.485581: funcgraph_exit:         2.148 us   |  }
      lazy_alloc-31612 [004] 34326.485815: funcgraph_entry:                   |  handle_mm_fault() {
      lazy_alloc-31612 [004] 34326.485815: funcgraph_entry:                   |    __handle_mm_fault() {
      lazy_alloc-31612 [004] 34326.485816: funcgraph_entry:                   |      __pud_alloc() {
      lazy_alloc-31612 [004] 34326.485816: funcgraph_entry:                   |        alloc_pages_noprof() {
      lazy_alloc-31612 [004] 34326.485816: funcgraph_entry:                   |          alloc_pages_mpol() {
      lazy_alloc-31612 [004] 34326.485816: funcgraph_entry:        0.108 us   |            policy_nodemask();
      lazy_alloc-31612 [004] 34326.485816: funcgraph_entry:                   |            __alloc_frozen_pages_noprof() {
      lazy_alloc-31612 [004] 34326.485816: funcgraph_entry:        0.112 us   |              __next_zones_zonelist();
      lazy_alloc-31612 [004] 34326.485817: funcgraph_entry:                   |              get_page_from_freelist() {
      lazy_alloc-31612 [004] 34326.485817: funcgraph_entry:        0.090 us   |                _raw_spin_trylock();
      lazy_alloc-31612 [004] 34326.485817: funcgraph_entry:        0.192 us   |                _raw_spin_unlock();
      lazy_alloc-31612 [004] 34326.485817: funcgraph_exit:         0.692 us   |              }
      lazy_alloc-31612 [004] 34326.485817: funcgraph_entry:        0.084 us   |              __memcg_kmem_charge_page();
      lazy_alloc-31612 [004] 34326.485818: funcgraph_exit:         1.500 us   |            }
      lazy_alloc-31612 [004] 34326.485818: funcgraph_exit:         1.941 us   |          }
      lazy_alloc-31612 [004] 34326.485818: funcgraph_exit:         2.156 us   |        }
      lazy_alloc-31612 [004] 34326.485818: funcgraph_entry:                   |        __lruvec_stat_mod_folio() {
      lazy_alloc-31612 [004] 34326.485818: funcgraph_entry:        0.081 us   |          __rcu_read_lock();
      lazy_alloc-31612 [004] 34326.485818: funcgraph_entry:        0.081 us   |          __rcu_read_unlock();
      lazy_alloc-31612 [004] 34326.485818: funcgraph_entry:        0.113 us   |          __mod_node_page_state();
      lazy_alloc-31612 [004] 34326.485819: funcgraph_exit:         0.663 us   |        }
      lazy_alloc-31612 [004] 34326.485819: funcgraph_entry:        0.089 us   |        _raw_spin_lock();
      lazy_alloc-31612 [004] 34326.485819: funcgraph_entry:        0.089 us   |        _raw_spin_unlock();
      lazy_alloc-31612 [004] 34326.485819: funcgraph_exit:         3.478 us   |      }
      lazy_alloc-31612 [004] 34326.485819: funcgraph_entry:        0.097 us   |      __thp_vma_allowable_orders();
      lazy_alloc-31612 [004] 34326.485819: funcgraph_entry:                   |      __pmd_alloc() {
      lazy_alloc-31612 [004] 34326.485820: funcgraph_entry:                   |        alloc_pages_noprof() {
      lazy_alloc-31612 [004] 34326.485820: funcgraph_entry:                   |          alloc_pages_mpol() {
      lazy_alloc-31612 [004] 34326.485820: funcgraph_entry:        0.082 us   |            policy_nodemask();
      lazy_alloc-31612 [004] 34326.485820: funcgraph_entry:                   |            __alloc_frozen_pages_noprof() {
      lazy_alloc-31612 [004] 34326.485820: funcgraph_entry:        0.083 us   |              __next_zones_zonelist();
      lazy_alloc-31612 [004] 34326.485820: funcgraph_entry:                   |              get_page_from_freelist() {
      lazy_alloc-31612 [004] 34326.485820: funcgraph_entry:        0.086 us   |                _raw_spin_trylock();
